time_min,temp_C,OD600,strain,well,media,pos_selection,neg_selection,operator,repressor,volume_marker,date,run_number
1099.3,37.1,0.031,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1124.3,37.0,0.031,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1149.3,37.1,0.031,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1174.3,37.1,0.031,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1199.3,37.1,0.031,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1224.3,37.1,0.031,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1249.3,37.0,0.031,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1274.3,37.1,0.031,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1299.3,37.1,0.031,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1324.3,37.0,0.031,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1349.3,37.1,0.031,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1374.3,37.1,0.031,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1399.3,37.1,0.03,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1424.3,37.0,0.03,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1449.3,37.1,0.03,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1474.3,37.1,0.03,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1499.3,37.0,0.03,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1524.3,37.0,0.031,blank,A02,M9_0.5%_glucose,0_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
24.3,37.0,0.031,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
49.3,37.0,0.032,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
74.3,37.0,0.032,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
99.3,37.0,0.032,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
124.3,37.1,0.032,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
149.3,37.0,0.032,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
174.3,37.1,0.032,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
199.3,37.1,0.032,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
224.3,37.1,0.032,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
249.3,37.0,0.032,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
274.3,37.0,0.033,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
299.3,37.1,0.033,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
324.3,37.0,0.033,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
349.3,37.0,0.033,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
374.3,37.1,0.033,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
399.3,37.0,0.033,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
424.3,37.1,0.034,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
449.3,37.1,0.034,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
474.3,37.1,0.034,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
499.3,37.0,0.034,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
524.3,37.0,0.034,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
549.3,37.0,0.034,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
574.3,37.0,0.034,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
599.3,37.0,0.034,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
624.3,37.1,0.034,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
649.3,37.1,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
674.3,37.0,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
699.3,37.0,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
724.3,37.1,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
749.3,37.0,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
774.3,37.0,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
799.3,37.0,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
824.3,37.1,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
849.3,37.1,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
874.3,37.0,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
899.3,37.0,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
924.3,37.0,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
949.3,37.1,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
974.3,37.1,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
999.3,37.0,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1024.3,37.1,0.036000000000000004,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1049.3,37.0,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1074.3,37.0,0.036000000000000004,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1099.3,37.1,0.036000000000000004,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1124.3,37.0,0.036000000000000004,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1149.3,37.1,0.036000000000000004,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1174.3,37.1,0.036000000000000004,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1199.3,37.1,0.036000000000000004,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1224.3,37.1,0.036000000000000004,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1249.3,37.0,0.036000000000000004,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1274.3,37.1,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1299.3,37.1,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1324.3,37.0,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1349.3,37.1,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1374.3,37.1,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1399.3,37.1,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1424.3,37.0,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1449.3,37.1,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1474.3,37.1,0.035,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1499.3,37.0,0.034,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1524.3,37.0,0.034,blank,A03,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
24.3,37.0,0.032,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
49.3,37.0,0.032,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
74.3,37.0,0.032,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
99.3,37.0,0.032,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
124.3,37.1,0.032,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
149.3,37.0,0.032,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
174.3,37.1,0.032,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
199.3,37.1,0.032,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
224.3,37.1,0.032,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
249.3,37.0,0.032,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
274.3,37.0,0.033,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
299.3,37.1,0.033,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
324.3,37.0,0.033,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
349.3,37.0,0.033,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
374.3,37.1,0.033,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
399.3,37.0,0.033,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
424.3,37.1,0.033,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
449.3,37.1,0.033,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
474.3,37.1,0.034,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
499.3,37.0,0.034,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
524.3,37.0,0.034,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
549.3,37.0,0.034,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
574.3,37.0,0.034,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
599.3,37.0,0.034,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
624.3,37.1,0.034,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
649.3,37.1,0.034,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
674.3,37.0,0.034,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
699.3,37.0,0.034,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
724.3,37.1,0.034,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
749.3,37.0,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
774.3,37.0,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
799.3,37.0,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
824.3,37.1,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
849.3,37.1,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
874.3,37.0,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
899.3,37.0,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
924.3,37.0,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
949.3,37.1,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
974.3,37.1,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
999.3,37.0,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1024.3,37.1,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1049.3,37.0,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1074.3,37.0,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1099.3,37.1,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1124.3,37.0,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1149.3,37.1,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1174.3,37.1,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1199.3,37.1,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1224.3,37.1,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1249.3,37.0,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1274.3,37.1,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1299.3,37.1,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1324.3,37.0,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1349.3,37.1,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1374.3,37.1,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1399.3,37.1,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1424.3,37.0,0.035,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1449.3,37.1,0.034,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1474.3,37.1,0.034,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1499.3,37.0,0.034,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
1524.3,37.0,0.034,blank,A04,M9_0.5%_glucose,75_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
24.3,37.0,0.032,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
49.3,37.0,0.032,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
74.3,37.0,0.032,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
99.3,37.0,0.032,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
124.3,37.1,0.032,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
149.3,37.0,0.032,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
174.3,37.1,0.032,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
199.3,37.1,0.032,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
224.3,37.1,0.032,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
249.3,37.0,0.033,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
274.3,37.0,0.033,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
299.3,37.1,0.033,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
324.3,37.0,0.033,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
349.3,37.0,0.033,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
374.3,37.1,0.033,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
399.3,37.0,0.033,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
424.3,37.1,0.034,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
449.3,37.1,0.034,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
474.3,37.1,0.034,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
499.3,37.0,0.034,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
524.3,37.0,0.034,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
549.3,37.0,0.034,blank,A05,M9_0.5%_glucose,100_ugmL_tetracycline,0_%wv_sucrose,blank,,blank,20200729,1
